      Step     Time          Energy          fmax
FIRE:   55 23:16:33     -477.241060        0.099118
FIRE:   56 23:16:34     -477.241435        0.074013
FIRE:   57 23:16:34     -477.241785        0.043483
FIRE:   58 23:16:35     -477.242011        0.045465
FIRE:   59 23:16:36     -477.242138        0.054211
FIRE:   60 23:16:36     -477.242272        0.057064
FIRE:   61 23:16:37     -477.242474        0.054963
FIRE:   62 23:16:38     -477.242753        0.046906
FIRE:   63 23:16:38     -477.243000        0.033621
FIRE:   64 23:16:39     -477.243100        0.043787
FIRE:   65 23:16:40     -477.243112        0.041919
FIRE:   66 23:16:40     -477.243133        0.038312
FIRE:   67 23:16:41     -477.243159        0.033233
FIRE:   68 23:16:42     -477.243186        0.027105
FIRE:   69 23:16:42     -477.243210        0.020588
FIRE:   70 23:16:43     -477.243229        0.014761
      Step     Time          Energy          fmax
FIRE:    0 23:27:24     -407.136983      174.088366
FIRE:    1 23:27:25     -438.874600       83.770517
FIRE:    2 23:27:26     -455.127188       56.149675
FIRE:    3 23:27:26     -464.749608       40.688432
FIRE:    4 23:27:27     -470.743048       24.838579
FIRE:    5 23:27:28     -474.187563       11.804539
FIRE:    6 23:27:29     -475.608888        4.666703
FIRE:    7 23:27:29     -475.872357        4.215982
FIRE:    8 23:27:30     -476.003891        3.699927
FIRE:    9 23:27:31     -476.219221        2.828415
FIRE:   10 23:27:32     -476.451014        2.408370
FIRE:   11 23:27:32     -476.643942        1.857652
FIRE:   12 23:27:33     -476.769536        1.191650
FIRE:   13 23:27:34     -476.825183        0.884783
FIRE:   14 23:27:34     -476.827557        1.046960
FIRE:   15 23:27:35     -476.830527        1.031277
FIRE:   16 23:27:36     -476.836305        1.000041
FIRE:   17 23:27:36     -476.844578        0.953523
FIRE:   18 23:27:37     -476.854900        0.892159
FIRE:   19 23:27:38     -476.866720        0.816573
FIRE:   20 23:27:38     -476.879422        0.727628
FIRE:   21 23:27:39     -476.892364        0.626497
FIRE:   22 23:27:40     -476.906201        0.502399
FIRE:   23 23:27:41     -476.920046        0.422539
FIRE:   24 23:27:41     -476.932735        0.382122
FIRE:   25 23:27:42     -476.943119        0.411276
FIRE:   26 23:27:43     -476.950755        0.491717
FIRE:   27 23:27:44     -476.956612        0.564491
FIRE:   28 23:27:44     -476.963005        0.612102
FIRE:   29 23:27:45     -476.972642        0.620665
FIRE:   30 23:27:46     -476.987246        0.578364
FIRE:   31 23:27:46     -477.006188        0.476457
FIRE:   32 23:27:47     -477.026198        0.398948
FIRE:   33 23:27:48     -477.043775        0.452133
FIRE:   34 23:27:48     -477.060010        0.490967
FIRE:   35 23:27:49     -477.080955        0.488979
FIRE:   36 23:27:50     -477.109938        0.423403
FIRE:   37 23:27:51     -477.140307        0.302040
FIRE:   38 23:27:51     -477.163424        0.430600
FIRE:   39 23:27:52     -477.185056        0.476394
FIRE:   40 23:27:52     -477.206628        0.217443
FIRE:   41 23:27:53     -477.216448        0.256892
FIRE:   42 23:27:54     -477.218760        0.206474
FIRE:   43 23:27:54     -477.222137        0.127643
FIRE:   44 23:27:55     -477.225059        0.092492
FIRE:   45 23:27:56     -477.226968        0.135561
FIRE:   46 23:27:56     -477.228550        0.170757
FIRE:   47 23:27:57     -477.230573        0.194303
FIRE:   48 23:27:58     -477.232971        0.170042
FIRE:   49 23:27:58     -477.235243        0.097516
FIRE:   50 23:27:59     -477.236641        0.108796
FIRE:   51 23:28:00     -477.237674        0.117361
FIRE:   52 23:28:00     -477.239272        0.109309
FIRE:   53 23:28:01     -477.240694        0.076316
