Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
1.8150        -466.5233    -469.5422       3.0189   432.5
1.8300        -466.5490    -469.1993       2.6503   379.7
1.8450        -466.5720    -469.7412       3.1693   454.0
1.8600        -466.5969    -469.4492       2.8523   408.6
1.8750        -466.6195    -469.5540       2.9346   420.4
1.8900        -466.6448    -469.7635       3.1187   446.8
1.9050        -466.6774    -470.0919       3.4144   489.2
1.9200        -466.7326    -470.5510       3.8184   547.0
1.9350        -466.8060    -470.0482       3.2422   464.5
1.9500        -466.8882    -469.9237       3.0355   434.9
1.9650        -466.9579    -469.2874       2.3294   333.7
1.9800        -467.0171    -469.5906       2.5736   368.7
1.9950        -467.0799    -469.9409       2.8610   409.9
2.0100        -467.1448    -470.0127       2.8679   410.9
2.0250        -467.2143    -470.1066       2.8923   414.4
2.0400        -467.2842    -470.2963       3.0121   431.5
2.0550        -467.3671    -470.5793       3.2122   460.2
2.0700        -467.4515    -470.3259       2.8744   411.8
2.0850        -467.5268    -470.1723       2.6456   379.0
2.1000        -467.5882    -469.9192       2.3310   334.0
2.1150        -467.6387    -470.1982       2.5595   366.7
2.1300        -467.6882    -470.3836       2.6954   386.2
2.1450        -467.7396    -470.3993       2.6597   381.0
2.1600        -467.7808    -469.8625       2.0817   298.2
2.1750        -467.8127    -470.2251       2.4124   345.6
2.1900        -467.8549    -470.9318       3.0769   440.8
2.2050        -467.9131    -470.7306       2.8174   403.6
2.2200        -467.9733    -470.4554       2.4822   355.6
2.2350        -468.0343    -470.5711       2.5368   363.4
2.2500        -468.1003    -470.5465       2.4462   350.5
