Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
1.8150        -470.7205    -474.2536       3.5331   497.0
1.8300        -470.7522    -473.8244       3.0722   432.1
1.8450        -470.7871    -474.0772       3.2900   462.8
1.8600        -470.8278    -474.2233       3.3955   477.6
1.8750        -470.8808    -474.4231       3.5423   498.3
1.8900        -470.9473    -474.3087       3.3614   472.8
1.9050        -471.0118    -473.8939       2.8821   405.4
1.9200        -471.0816    -474.3544       3.2727   460.3
1.9350        -471.1586    -474.1703       3.0117   423.6
1.9500        -471.2250    -473.8321       2.6071   366.7
1.9650        -471.2925    -474.4045       3.1120   437.7
1.9800        -471.3676    -474.3858       3.0182   424.5
1.9950        -471.4471    -474.5855       3.1384   441.4
2.0100        -471.5314    -474.5820       3.0507   429.1
2.0250        -471.6179    -474.7157       3.0978   435.7
2.0400        -471.7130    -474.7225       3.0095   423.3
2.0550        -471.7844    -473.9734       2.1890   307.9
2.0700        -471.8482    -474.5929       2.7447   386.1
2.0850        -471.9107    -474.5136       2.6029   366.1
2.1000        -471.9700    -474.8423       2.8723   404.0
2.1150        -472.0418    -474.9695       2.9278   411.8
2.1300        -472.1061    -474.6582       2.5521   359.0
2.1450        -472.1714    -474.8855       2.7141   381.8
2.1600        -472.2369    -474.7668       2.5299   355.9
2.1750        -472.2979    -474.8800       2.5821   363.2
2.1900        -472.3617    -474.8470       2.4853   349.6
2.2050        -472.4199    -474.8274       2.4075   338.6
2.2200        -472.4795    -474.9155       2.4360   342.7
2.2350        -472.5356    -474.9035       2.3680   333.1
2.2500        -472.5997    -475.2417       2.6420   371.6
