Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
1.8150        -454.2076    -457.4410       3.2334   472.0
1.8300        -454.2646    -457.1288       2.8642   418.1
1.8450        -454.3137    -457.0467       2.7330   398.9
1.8600        -454.3657    -457.6346       3.2690   477.2
1.8750        -454.4296    -457.6460       3.2164   469.5
1.8900        -454.4877    -456.9715       2.4838   362.6
1.9050        -454.5350    -457.2210       2.6859   392.1
1.9200        -454.5893    -457.7232       3.1339   457.5
1.9350        -454.6478    -457.5178       2.8700   418.9
1.9500        -454.7119    -457.8090       3.0971   452.1
1.9650        -454.7800    -457.7085       2.9284   427.5
1.9800        -454.8564    -457.9482       3.0918   451.3
1.9950        -454.9322    -457.5818       2.6496   386.8
2.0100        -455.0009    -457.6010       2.6001   379.5
2.0250        -455.0673    -457.7444       2.6772   390.8
2.0400        -455.1254    -457.4178       2.2924   334.6
2.0550        -455.1779    -457.8324       2.6544   387.5
2.0700        -455.2351    -458.0486       2.8135   410.7
2.0850        -455.2969    -457.9003       2.6034   380.0
2.1000        -455.3462    -457.6334       2.2872   333.9
2.1150        -455.3987    -458.0163       2.6176   382.1
2.1300        -455.4476    -457.8179       2.3703   346.0
2.1450        -455.4936    -457.9162       2.4225   353.6
2.1600        -455.5467    -458.3287       2.7820   406.1
2.1750        -455.6058    -458.3006       2.6948   393.4
2.1900        -455.6747    -458.3613       2.6865   392.2
2.2050        -455.7404    -457.9749       2.2345   326.2
2.2200        -455.7959    -458.0503       2.2544   329.1
2.2350        -455.8544    -458.0855       2.2311   325.7
2.2500        -455.8958    -457.6890       1.7932   261.8
